data_venda,dim_produto_id,dim_vendedor_id,quantidade,valor_total,custo_venda
2023-02-10 13:21:10,86,19,4,27.783599378444627,14.02199672664722
2023-06-09 05:24:02,62,17,5,184.42469765883118,81.50573976364464
2023-01-25 16:19:32,54,1,6,210.86056502089764,121.97771183167929
2023-02-27 08:16:11,4,10,4,134.21928558813585,80.17660721409483
2023-03-02 14:55:18,36,9,6,53.376968647263624,26.236493055851284
2023-04-16 06:16:12,11,11,8,151.2341292064126,89.50594591862794
2023-01-03 04:30:54,60,10,10,125.12798059390616,73.068724799495
2023-03-19 09:32:57,43,1,4,194.2210016350328,104.26727566383444
2023-01-10 22:28:46,59,16,4,72.42786666489945,40.179652666490135
2023-01-20 12:44:33,31,20,9,419.9050261843147,251.53723341226438
2023-01-02 07:58:20,78,19,7,330.4561384728447,144.85090104044303
2023-01-29 04:24:03,45,19,7,101.16881269807111,47.87418873433958
2023-02-23 06:18:16,58,1,3,57.31558842487013,32.82350618202502
2023-01-15 22:44:13,82,3,2,67.37312118027978,31.68111324179332
2023-06-12 09:34:58,31,15,5,124.47323690004914,70.45773469097422
2023-06-22 07:42:24,13,8,10,371.38968898181315,218.4041992713069
2023-03-22 16:41:35,65,17,9,331.1764893363717,183.92892390271527
2023-04-12 16:58:46,70,1,9,45.02912633609127,25.067754949774926
2023-03-07 02:03:26,46,19,8,124.53488587091651,72.191709005498
2023-01-28 05:51:21,91,12,7,93.6841635415275,37.91229826486773
2023-05-03 02:05:12,84,16,9,121.50817643889081,69.17432190316863
2023-07-04 21:59:17,38,14,4,184.62036240564873,94.7538493658498
2023-01-28 15:35:53,16,8,4,140.0490566017084,74.06573839341468
2023-04-30 21:16:45,59,18,7,64.88623457763146,30.227175119938657
2023-02-28 23:26:57,77,12,1,44.65829557591721,21.596168594753575
2023-02-16 01:55:30,87,15,8,65.1176580278393,36.969471877239855
2023-06-29 16:26:23,90,4,4,49.58045028470954,22.111788729541153
2023-01-07 14:59:29,43,7,3,58.10268812902451,31.188345705928594
2023-04-10 21:18:54,61,17,10,184.93179976191684,84.40528288500705
2023-03-22 13:11:16,79,8,2,38.79221389362209,21.598607357849676
2023-07-08 15:56:10,28,6,10,203.46132486433328,116.81731213092434
2023-03-01 05:55:23,30,2,9,440.7608664900123,197.6371576166418
2023-01-26 12:02:06,33,19,5,157.02882934351538,88.28028576206326
2023-02-06 04:42:30,34,10,5,230.88229900547094,131.06840998050663
2023-08-08 03:42:33,63,9,10,241.08573283252565,114.3746851130768
2023-01-07 17:48:46,11,20,2,33.62197382593807,17.917165339962455
2023-02-05 20:22:24,13,19,2,88.2617629088819,45.93637429287527
2023-08-07 08:49:05,17,18,6,207.28040515100577,121.19022785548955
2023-06-12 16:19:12,95,9,7,64.59789929668226,36.151589674701114
2023-03-30 09:24:31,4,15,4,192.35881330869026,106.15314547620866
2023-06-21 02:33:55,89,15,10,354.23576941686264,163.24142538621393
2023-05-06 01:13:27,52,19,6,185.52455535045408,90.88960222157029
2023-07-19 17:23:07,72,7,1,7.316919018426369,3.8463719919421067
2023-01-07 09:32:38,32,5,3,144.6411138491559,68.00774273390424
2023-08-10 21:49:43,37,17,8,205.6865422235234,106.24286424751477
2023-06-16 15:53:46,33,15,9,419.9620163730279,236.30418705104267
2023-03-24 11:33:08,82,4,3,55.470707739189464,26.691579771623534
2023-08-03 22:22:15,27,15,1,42.72341118465891,23.883238608114077
2023-01-17 15:30:16,41,9,5,180.67596346658257,75.38878710294235
2023-03-24 11:20:07,75,14,6,231.33429344994403,95.80104407497605
2023-05-25 23:03:21,7,9,1,10.256130217653162,5.7349722359444515
2023-06-15 21:49:51,96,1,4,184.85610235620595,108.6758745267778
2023-05-14 17:48:54,13,13,1,33.69511762367566,17.012795924168017
2023-06-17 04:08:56,37,12,6,188.12818285452403,83.80640870999314
2023-01-08 04:33:47,83,7,2,49.538843160727275,29.21014847015235
2023-01-31 01:23:50,18,1,3,49.3207826538774,22.6498718761662
2023-01-14 14:43:39,34,3,10,80.02409947520542,47.024043472180786
2023-06-25 04:41:39,92,4,5,50.01788722199333,20.438821717597573
2023-07-27 04:03:44,72,6,8,216.63904711380647,95.68629119652961
2023-02-01 21:50:25,9,13,7,261.9213802544418,152.79538436586384
2023-01-29 09:15:56,14,9,6,56.47244184122866,30.449035473587546
2023-01-05 11:30:50,25,20,1,24.41446843222501,13.413270089568847
2023-04-04 05:20:31,27,18,7,133.57606945729668,67.78060605047173
2023-08-03 10:16:51,25,12,6,232.52171918017024,109.53105899767394
2023-08-05 05:08:22,65,14,7,156.0182272679376,78.79497566207299
2023-01-11 14:06:03,62,2,8,236.66067327089158,138.28826387958543
2023-06-24 22:37:16,79,13,4,172.17915383091432,81.57361238511514
2023-05-25 01:43:32,70,4,7,198.81022664766414,114.83787143486782
2023-05-05 11:28:10,67,12,4,91.26840523090098,50.597970889741696
2023-03-09 05:39:00,70,4,8,211.59375160851243,104.1689758431524
2023-07-05 06:39:09,59,19,9,371.5837767446167,170.33723304283117
2023-02-25 04:18:17,48,4,6,149.25487683920898,73.05381585375123
2023-02-19 15:48:41,27,5,6,68.95308919274845,39.89141286891138
2023-02-18 23:23:57,41,5,3,94.22742692756205,47.44483598658163
2023-01-28 19:15:22,67,16,8,141.46894156683618,76.30226741085463
2023-07-16 11:44:51,22,12,7,156.5122773837219,74.5455306773181
2023-05-24 17:06:06,54,8,10,413.07004922243334,243.9952921125082
